"","filename","Date","Time","Site","Unit ID","User ID","°F-21A104910","mmHg-21A105443","DO %-21A106679","DO mg/L-21A106679","SPC-uS/cm-21A104910","C-uS/cm-21A104910","nLFC-uS/cm-21A104910","ohm-cm-21A104910","TDS mg/L-21A104910","SAL-PSU-21A104910","Density-21A104910","Density-T-21A104910","pH-21B101988","pH mV-21B101988","Phycocyanin RFU-21B101736","Phycocyanin ug/L-21B101736","Chlorophyll RFU-21B101736","Chlorophyll ug/L-21B101736","DEP m-20M103012","Vpos m-20M103012"
"1","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:41:51,"Tank 49","1",NA,62.802,752.9,76.1,7.33,155.1,131.8,157.1,7588,101,0.07,-1.2,-1.2,7.24,-111.5,0.04,0.02,-0.02,-0.36,-0.05,-0.053
"2","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:41:54,"Tank 49","1",NA,62.715,752.9,77.2,7.44,154.5,131.1,156.5,7630,100,0.07,-1.2,-1.2,7.22,-110.1,0.11,0.09,0,-0.26,-0.05,-0.049
"3","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:41:57,"Tank 49","1",NA,62.702,752.9,78.2,7.54,153.1,129.9,155.1,7699,100,0.07,-1.2,-1.2,7.2,-108.9,0.08,0.06,0,-0.29,-0.05,-0.041
"4","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:42:00,"Tank 49","1",NA,62.685,752.9,79,7.62,152.1,129,154.1,7753,99,0.07,-1.2,-1.2,7.18,-107.9,0.07,0.05,0.02,-0.18,-0.05,-0.043
"5","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:42:03,"Tank 49","1",NA,62.686,752.9,79.7,7.7,150.9,128,152.9,7813,98,0.07,-1.2,-1.2,7.16,-107,0.05,0.03,0.07,0,-0.05,-0.05
"6","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:42:06,"Tank 49","1",NA,62.675,752.9,80.3,7.75,149.5,126.8,151.5,7886,97,0.07,-1.2,-1.2,7.15,-106.1,0.03,0,0.06,-0.02,-0.05,-0.052
"7","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:42:09,"Tank 49","1",NA,62.663,752.9,80.9,7.81,148.1,125.6,150.1,7961,96,0.07,-1.2,-1.2,7.04,-99.8,0.05,0.03,0.05,-0.07,-0.05,-0.054
"8","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:31,"Tank 03","1",NA,63.793,753,48.9,4.66,104.5,89.9,105.8,11125,68,0.05,-1.3,-1.3,8.13,-162,0.27,0.25,0.12,0.23,-0.05,-0.05
"9","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:34,"Tank 03","1",NA,63.402,752.9,56.4,5.4,151.1,129.3,153,7734,98,0.07,-1.2,-1.2,8.1,-160.2,0.27,0.25,0.17,0.42,-0.05,-0.05
"10","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:37,"Tank 03","1",NA,63.332,753,59.7,5.71,154.7,132.2,156.6,7562,101,0.07,-1.2,-1.2,7.87,-146.7,0.31,0.28,0.12,0.21,-0.05,-0.04
"11","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:40,"Tank 03","1",NA,63.309,752.9,61.8,5.92,155.3,132.8,157.3,7532,101,0.07,-1.2,-1.2,7.76,-140.8,0.28,0.26,0.06,-0.04,-0.05,-0.037
"12","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:43,"Tank 03","1",NA,63.308,753,66.6,6.38,155.3,132.8,157.3,7531,101,0.07,-1.2,-1.2,7.72,-138.2,0.26,0.24,0.05,-0.06,-0.05,-0.052
"13","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:46,"Tank 03","1",NA,63.302,753,68.4,6.56,155.6,133,157.6,7518,101,0.07,-1.2,-1.2,7.69,-136.6,0.03,0,0.08,0.05,-0.049,-0.054
"14","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:49,"Tank 03","1",NA,63.308,753.1,69.5,6.66,155.7,133.1,157.7,7514,101,0.07,-1.2,-1.2,7.66,-135.3,-0.01,-0.03,0.13,0.25,-0.049,-0.054
"15","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:07:54,"Tank 01","1",NA,63.842,753.1,62.7,5.98,94.1,80.9,95.2,12354,61,0.04,-1.3,-1.3,7.97,-152.7,0.38,0.35,0.07,0.02,-0.049,-0.049
"16","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:07:57,"Tank 01","1",NA,63.671,753,67.5,6.44,93.3,80.1,94.5,12481,61,0.04,-1.3,-1.3,7.95,-151.3,0.4,0.38,0.07,0.03,-0.049,-0.036
"17","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:08:00,"Tank 01","1",NA,63.515,753,69.7,6.66,89.2,76.5,90.3,13080,58,0.04,-1.3,-1.3,7.75,-140.4,0.3,0.27,0.11,0.19,-0.049,-0.04
"18","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:08:03,"Tank 01","1",NA,63.342,753,71,6.8,89.4,76.4,90.5,13085,58,0.04,-1.3,-1.3,7.72,-138.8,0.14,0.12,0.08,0.05,-0.05,-0.05
"19","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:08:06,"Tank 01","1",NA,63.102,753,72.1,6.92,148,126.2,149.9,7924,96,0.07,-1.2,-1.2,7.71,-137.8,0.05,0.03,0.04,-0.1,-0.05,-0.052
"20","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:08:09,"Tank 01","1",NA,62.93,752.9,76,7.32,147.4,125.4,149.3,7972,96,0.07,-1.2,-1.2,7.7,-137.3,0,-0.02,0.06,-0.04,-0.05,-0.038
"21","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:22,"Tank 36","1",NA,63.263,753.1,60.6,5.81,77.4,66.1,78.3,15132,50,0.04,-1.3,-1.3,7.83,-144.9,0.26,0.24,0.08,0.06,-0.05,-0.05
"22","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:25,"Tank 36","1",NA,63.268,752.9,66.2,6.35,82,70,83,14280,53,0.04,-1.3,-1.3,7.79,-142.7,0.26,0.23,0.06,-0.03,-0.05,-0.052
"23","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:28,"Tank 36","1",NA,63.209,753,67.7,6.49,144.5,123.4,146.3,8106,94,0.07,-1.2,-1.2,7.77,-141.4,0.26,0.24,0.07,0,-0.05,-0.05
"24","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:31,"Tank 36","1",NA,63.148,752.9,68.8,6.6,146.2,124.7,148,8020,95,0.07,-1.2,-1.2,7.75,-140.4,0.13,0.1,0.05,-0.06,-0.05,-0.052
"25","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:34,"Tank 36","1",NA,63.092,753,69.8,6.71,146.5,124.9,148.3,8009,95,0.07,-1.2,-1.2,7.74,-139.7,0.05,0.03,0.1,0.13,-0.05,-0.05
"26","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:37,"Tank 36","1",NA,63.018,753,74.4,7.15,147.2,125.3,149,7978,96,0.07,-1.2,-1.2,7.73,-139.1,0.06,0.04,0.13,0.27,-0.05,-0.061
"27","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:13:11,"Tank 52","1",NA,63.394,753.1,71.8,6.87,148,126.7,149.9,7894,96,0.07,-1.2,-1.2,7.82,-144.4,0.06,0.04,0.03,-0.13,-0.048,-0.031
